Descending,Heap sort,200000,0.02
Constant,Shell sort,200000,0.01
Constant,Heap sort,200000,0.00
V-shaped,Shell sort,200000,0.01
V-shaped,Heap sort,200000,0.02
Random,Shell sort,300000,0.04
Random,Heap sort,300000,0.04
Ascending,Shell sort,300000,0.01
Ascending,Heap sort,300000,0.02
Descending,Shell sort,300000,0.02
Descending,Heap sort,300000,0.02
Constant,Shell sort,300000,0.01
Constant,Heap sort,300000,0.00
V-shaped,Shell sort,300000,0.02
V-shaped,Heap sort,300000,0.03
Random,Shell sort,400000,0.06
Random,Heap sort,400000,0.06
Ascending,Shell sort,400000,0.02
Ascending,Heap sort,400000,0.04
Descending,Shell sort,400000,0.02
Descending,Heap sort,400000,0.04
Constant,Shell sort,400000,0.02
Constant,Heap sort,400000,0.00
V-shaped,Shell sort,400000,0.02
V-shaped,Heap sort,400000,0.04
Random,Shell sort,500000,0.07
Random,Heap sort,500000,0.09
Ascending,Shell sort,500000,0.02
Ascending,Heap sort,500000,0.05
Descending,Shell sort,500000,0.02
Descending,Heap sort,500000,0.05
Constant,Shell sort,500000,0.02
Constant,Heap sort,500000,0.00
V-shaped,Shell sort,500000,0.03
V-shaped,Heap sort,500000,0.05
Random,Shell sort,600000,0.09
Random,Heap sort,600000,0.11
Ascending,Shell sort,600000,0.02
Ascending,Heap sort,600000,0.06
Descending,Shell sort,600000,0.02
Descending,Heap sort,600000,0.06
Constant,Shell sort,600000,0.02
Constant,Heap sort,600000,0.01
V-shaped,Shell sort,600000,0.03
V-shaped,Heap sort,600000,0.07
Random,Shell sort,700000,0.10
Random,Heap sort,700000,0.13
Ascending,Shell sort,700000,0.04
Ascending,Heap sort,700000,0.07
Descending,Shell sort,700000,0.02
Descending,Heap sort,700000,0.08
Constant,Shell sort,700000,0.03
Constant,Heap sort,700000,0.00
V-shaped,Shell sort,700000,0.04
V-shaped,Heap sort,700000,0.08
Random,Shell sort,800000,0.13
Random,Heap sort,800000,0.16
Ascending,Shell sort,800000,0.02
Ascending,Heap sort,800000,0.08
Descending,Shell sort,800000,0.03
Descending,Heap sort,800000,0.09
Constant,Shell sort,800000,0.03
Constant,Heap sort,800000,0.01
V-shaped,Shell sort,800000,0.04
V-shaped,Heap sort,800000,0.10
Random,Shell sort,900000,0.14
Random,Heap sort,900000,0.20
Ascending,Shell sort,900000,0.04
Ascending,Heap sort,900000,0.09
Descending,Shell sort,900000,0.03
Descending,Heap sort,900000,0.10
Constant,Shell sort,900000,0.03
Constant,Heap sort,900000,0.01
V-shaped,Shell sort,900000,0.06
V-shaped,Heap sort,900000,0.10
Random,Shell sort,1000000,0.16
Random,Heap sort,1000000,0.22
Ascending,Shell sort,1000000,0.04
Ascending,Heap sort,1000000,0.11
Descending,Shell sort,1000000,0.04
Descending,Heap sort,1000000,0.11
Constant,Shell sort,1000000,0.04
Constant,Heap sort,1000000,0.01
V-shaped,Shell sort,1000000,0.06
V-shaped,Heap sort,1000000,0.12
